,ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-22 17:44:09.937608,2021-12-22 12:35:36-05:00,155,0,233950,615668904571731049,481778967818255065,544624943757044938,233950,627982282601598779,491414547126442269,555517442632185836,32970639613608401,34730413927246206,-1759774313637805,1158,161379973241,134183909566,1813581
2021-12-23 18:11:22.457187,2021-12-23 12:59:39-05:00,156,0,233950,619869388602794428,497846215255438548,555517442632185836,233950,626068082426835433,502824677358208311,561072617058507694,40301452459836909,33948332774670363,6353119685166546,1197,166026838606,138681356315,11867816
2021-12-23 18:11:22.457187,2021-12-23 13:00:08-05:00,157,2,4320000,13921287521054926,13052376785307075,13479832716373093,4320000,13935208807183852,13065429160787144,13493312549089466,998294929141381,1595127913969849,-596832984828468,368,43923386268,29520900125,11301120
2021-12-24 02:01:21.750596,2021-12-23 20:50:09-05:00,158,0,233950,622629543855407226,505601580778809227,561072617058507694,233950,628855839231698343,510657596536037161,566683343229092770,41310019818270751,31518361561675998,9791658256594753,1199,167927769540,140468214348,28076339
2021-12-24 02:01:21.750596,2021-12-23 20:51:53-05:00,159,2,4320000,13814383680524022,13179703688417376,13493312549089466,4320000,13952527515947823,13311500723983579,13628245674580360,1106981292030174,1582989150198812,-476007858168638,372,44527060094,29995220606,71768160
2021-12-24 02:36:57.461247,2021-12-23 21:12:44-05:00,160,3,63127,724788746073469803,1117557451978570350,899996146816534959,63128,724788746073469803,1117557451978570350,899996146816534959,216750002449082847,12367035243513109,204382967205569738,176,65238871431,52869888655,24582078
2021-12-24 02:36:57.461247,2021-12-23 21:32:40-05:00,161,3,63128,718761822026906698,1126928336288690676,899996146816534959,63129,718761822026906698,1126928336288690676,899996146816534959,222826646998530644,12416755746397801,210409891252132843,180,65357622439,52963120498,25519165
2021-12-24 02:57:32.190139,2021-12-23 21:52:09-05:00,162,3,63129,719985011874363305,1125013786295252716,899996146816534959,63135,719985011874363305,1125013786295252716,899996146816534959,221624653443554016,12437952038877780,209186701404676236,180,65482934193,52936465988,151966264
2021-12-25 04:21:40.358355,2021-12-24 23:10:25-05:00,163,3,63135,725957682298715320,1115757962254493991,899996146816534959,63140,725957682298715320,1115757962254493991,899996146816534959,217853356995855118,14639326015530897,203214030980324221,164,71619929948,52891137761,122010641
2021-12-25 04:21:40.358355,2021-12-24 23:11:01-05:00,164,3,63140,726047653764880263,1115619698079644450,899996146816534959,63150,726047653764880263,1115619698079644450,899996146816534959,217763385529690175,14639326015530897,203124059514159278,164,71620802948,52648127743,243883018
2021-12-25 04:21:40.358355,2021-12-24 23:13:23-05:00,165,3,63150,726077644459560794,1115573617319549438,899996146816534959,63200,726077644459560794,1115573617319549438,899996146816534959,217733394835009644,14639326015530897,203094068819478747,164,71621093948,51429234055,1219184688
2021-12-25 04:21:40.358355,2021-12-24 23:15:07-05:00,166,3,63200,726078552053572111,1115572222858948172,899996146816534959,63210,726078552053572111,1115572222858948172,899996146816534959,217733394835009644,14640233609542214,203093161225467430,164,71621102760,51185407324,243835543
2021-12-25 04:21:40.358355,2021-12-24 23:16:49-05:00,167,3,63210,726005595845529555,1115684326566747569,899996146816534959,63300,726005595845529555,1115684326566747569,899996146816534959,217806351043052200,14640233609542214,203166117433509986,164,71621811366,48990587109,2195528821
